,match_id,Batsman,team,Run,Ball,4s,6s,SR,out/not_out
0,1,Devon Conway,Chennai Super Kings,1,6,0,0,16.67,out
1,1,Ruturaj Gaikwad,Chennai Super Kings,92,50,4,9,184.0,out
2,1,Moeen Ali,Chennai Super Kings,23,17,4,1,135.29,out
3,1,Ben Stokes,Chennai Super Kings,7,6,1,0,116.67,out
4,1,Ambati Rayudu,Chennai Super Kings,12,12,0,1,100.0,out
5,1,Shivam Dube,Chennai Super Kings,19,18,0,1,105.56,out
6,1,Ravindra Jadeja,Chennai Super Kings,1,2,0,0,50.0,out
7,1,MS Dhoni,Chennai Super Kings,14,7,1,1,200.0,not_out
8,1,Mitchell Santner,Chennai Super Kings,1,3,0,0,33.33,not_out
9,1,Wriddhiman Saha,Gujarat Titans,25,16,2,2,156.25,out
10,1,Shubman Gill,Gujarat Titans,63,36,6,3,175.0,out
11,1,Sai Sudharsan,Gujarat Titans,22,17,3,0,129.41,out
12,1,Hardik Pandya,Gujarat Titans,8,11,0,0,72.73,out
13,1,Vijay Shankar,Gujarat Titans,27,21,2,1,128.57,out
14,1,Rahul Tewatia,Gujarat Titans,15,14,1,1,107.14,not_out
15,1,Rashid Khan,Gujarat Titans,10,3,1,1,333.33,not_out
16,2,Prabhsimran Singh,Punjab Kings,23,12,2,2,191.67,out
17,2,Shikhar Dhawan,Punjab Kings,40,29,6,0,137.93,out
18,2,Bhanuka Rajapaksa,Punjab Kings,50,32,5,2,156.25,out
19,2,Jitesh Sharma,Punjab Kings,21,11,1,2,190.91,out
20,2,Sikandar Raza,Punjab Kings,16,13,1,1,123.08,out
21,2,Sam Curran,Punjab Kings,26,17,0,2,152.94,not_out
22,2,Shahrukh Khan,Punjab Kings,11,7,2,0,157.14,not_out
23,2,Mandeep Singh,Kolkata Knight Riders,2,4,0,0,50.0,out
24,2,Rahmanullah Gurbaz,Kolkata Knight Riders,22,16,3,1,137.5,out
25,2,Anukul Roy,Kolkata Knight Riders,4,5,1,0,80.0,out
26,2,Venkatesh Iyer,Kolkata Knight Riders,34,28,3,1,121.43,out
27,2,Nitish Rana,Kolkata Knight Riders,24,17,3,1,141.18,out
28,2,Rinku Singh,Kolkata Knight Riders,4,4,0,0,100.0,out
29,2,Andre Russell,Kolkata Knight Riders,35,19,3,2,184.21,out
30,2,Shardul Thakur,Kolkata Knight Riders,8,3,0,1,266.67,not_out
31,2,Sunil Narine,Kolkata Knight Riders,7,2,0,1,350.0,not_out
32,3,KL Rahul,Lucknow Super Giants,8,12,0,1,66.67,out
33,3,Kyle Mayers,Lucknow Super Giants,73,38,2,7,192.11,out
34,3,Deepak Hooda,Lucknow Super Giants,17,18,0,0,94.44,out
35,3,Krunal Pandya,Lucknow Super Giants,15,13,0,1,115.38,not_out
36,3,Marcus Stoinis,Lucknow Super Giants,12,10,0,1,120.0,out
37,3,Nicholas Pooran,Lucknow Super Giants,36,21,2,3,171.43,out
38,3,Ayush Badoni,Lucknow Super Giants,18,7,1,2,257.14,out
39,3,Krishnappa Gowtham,Lucknow Super Giants,6,1,0,1,600.0,not_out
40,3,Prithvi Shaw,Delhi Capitals,12,9,2,0,133.33,out
41,3,David Warner,Delhi Capitals,56,48,7,0,116.67,out
42,3,Mitchell Marsh,Delhi Capitals,0,1,0,0,0.0,out
43,3,Sarfaraz Khan,Delhi Capitals,4,9,1,0,44.44,out
44,3,Rilee Rossouw,Delhi Capitals,30,20,3,1,150.0,out
45,3,Rovman Powell,Delhi Capitals,1,3,0,0,33.33,out
46,3,Aman Hakim Khan,Delhi Capitals,4,5,0,0,80.0,out
47,3,Axar Patel,Delhi Capitals,16,11,1,1,145.45,out
48,3,Kuldeep Yadav,Delhi Capitals,6,10,0,0,60.0,not_out
49,3,Chetan Sakariya,Delhi Capitals,4,4,1,0,100.0,out
50,3,Mukesh Kumar,Delhi Capitals,0,1,0,0,0.0,not_out
51,4,Yashasvi Jaiswal,Rajasthan Royals,54,37,9,0,145.95,out
52,4,Jos Buttler,Rajasthan Royals,54,22,7,3,245.45,out
