,match_id,Bowler,team,over,run,wicket,No_ball,ECO
0,1,Mohammed Shami,Gujarat Titans,4.0,29,2,1,7.3
1,1,Hardik Pandya,Gujarat Titans,3.0,28,0,0,9.3
2,1,Joshua Little,Gujarat Titans,4.0,41,1,0,10.3
3,1,Rashid Khan,Gujarat Titans,4.0,26,2,0,6.5
4,1,Alzarri Joseph,Gujarat Titans,4.0,33,2,0,8.3
5,1,Yash Dayal,Gujarat Titans,1.0,14,0,0,14.0
6,1,Deepak Chahar,Chennai Super Kings,4.0,29,0,0,7.3
7,1,Tushar Deshpande,Chennai Super Kings,3.2,51,1,1,15.9
8,1,Rajvardhan Hangargekar,Chennai Super Kings,4.0,36,3,1,9.0
9,1,Mitchell Santner,Chennai Super Kings,4.0,32,0,0,8.0
10,1,Ravindra Jadeja,Chennai Super Kings,4.0,28,1,0,7.0
11,2,Umesh Yadav,Kolkata Knight Riders,4.0,27,1,0,6.8
12,2,Tim Southee,Kolkata Knight Riders,4.0,54,2,0,13.5
13,2,Sunil Narine,Kolkata Knight Riders,4.0,40,1,0,10.0
14,2,Varun Chakaravarthy,Kolkata Knight Riders,4.0,26,1,0,6.5
15,2,Shardul Thakur,Kolkata Knight Riders,4.0,43,0,1,10.8
16,2,Sam Curran,Punjab Kings,3.0,38,1,0,12.7
17,2,Arshdeep Singh,Punjab Kings,3.0,19,3,0,6.3
18,2,Nathan Ellis,Punjab Kings,3.0,27,1,2,9.0
19,2,Sikandar Raza,Punjab Kings,3.0,25,1,0,8.3
20,2,Rishi Dhawan,Punjab Kings,1.0,15,0,0,15.0
21,2,Rahul Chahar,Punjab Kings,2.0,12,1,0,6.0
22,2,Harpreet Brar,Punjab Kings,1.0,7,0,0,7.0
23,3,Kyle Mayers,Lucknow Super Giants,1.0,7,0,0,7.0
24,3,Jaydev Unadkat,Lucknow Super Giants,3.0,39,0,0,13.0
25,3,Krishnappa Gowtham,Lucknow Super Giants,4.0,23,0,0,5.8
26,3,Avesh Khan,Lucknow Super Giants,4.0,29,2,0,7.3
27,3,Mark Wood,Lucknow Super Giants,4.0,14,5,1,3.5
28,3,Ravi Bishnoi,Lucknow Super Giants,4.0,31,2,0,7.8
29,3,Khaleel Ahmed,Delhi Capitals,4.0,30,2,0,7.5
30,3,Mukesh Kumar,Delhi Capitals,4.0,34,0,0,8.5
31,3,Chetan Sakariya,Delhi Capitals,4.0,53,2,0,13.3
32,3,Axar Patel,Delhi Capitals,4.0,38,1,0,9.5
33,3,Kuldeep Yadav,Delhi Capitals,4.0,35,1,0,8.8
34,4,Bhuvneshwar Kumar,Sunrisers Hyderabad,3.0,36,0,0,12.0
35,4,Fazalhaq Farooqi,Sunrisers Hyderabad,4.0,41,2,0,10.3
36,4,Washington Sundar,Sunrisers Hyderabad,3.0,32,0,0,10.7
37,4,T Natarajan,Sunrisers Hyderabad,3.0,23,2,0,7.7
38,4,Adil Rashid,Sunrisers Hyderabad,4.0,33,0,0,8.3
39,4,Umran Malik,Sunrisers Hyderabad,3.0,32,1,0,10.7
40,4,Trent Boult,Rajasthan Royals,4.0,21,2,0,5.3
41,4,KM Asif,Rajasthan Royals,3.0,15,0,0,5.0
42,4,Jason Holder,Rajasthan Royals,3.0,16,1,0,5.3
43,4,Ravichandran Ashwin,Rajasthan Royals,4.0,27,1,0,6.8
44,4,Yuzvendra Chahal,Rajasthan Royals,4.0,17,4,0,4.3
45,4,Navdeep Saini,Rajasthan Royals,2.0,34,0,3,17.0
46,5,Mohammed Siraj,Royal Challengers Bangalore,4.0,21,1,0,5.3
47,5,Reece Topley,Royal Challengers Bangalore,2.0,14,1,0,7.0
48,5,Akash Deep,Royal Challengers Bangalore,3.0,29,1,0,9.7
49,5,Harshal Patel,Royal Challengers Bangalore,4.0,43,1,1,10.8
50,5,Karn Sharma,Royal Challengers Bangalore,4.0,32,2,0,8.0
51,5,Michael Bracewell,Royal Challengers Bangalore,2.0,16,1,0,8.0
52,5,Glenn Maxwell,Royal Challengers Bangalore,1.0,16,1,0,16.0
53,5,Jason Behrendorff,Mumbai Indians,3.0,37,0,0,12.3
54,5,Arshad Khan,Mumbai Indians,2.2,28,1,0,12.7
55,5,Jofra Archer,Mumbai Indians,4.0,33,0,0,8.3
56,5,Piyush Chawla,Mumbai Indians,4.0,26,0,0,6.5
57,5,Cameron Green,Mumbai Indians,2.0,30,1,0,15.0
58,5,Hrithik Shokeen,Mumbai Indians,1.0,17,0,0,17.0
59,6,Kyle Mayers,Lucknow Super Giants,2.0,16,0,0,8.0
60,6,Avesh Khan,Lucknow Super Giants,3.0,39,1,0,13.0
61,6,Krunal Pandya,Lucknow Super Giants,2.0,21,0,0,10.5
62,6,Krishnappa Gowtham,Lucknow Super Giants,1.0,20,0,0,20.0
63,6,Mark Wood,Lucknow Super Giants,4.0,49,3,0,12.3
64,6,Yash Thakur,Lucknow Super Giants,4.0,36,0,1,9.0
65,6,Ravi Bishnoi,Lucknow Super Giants,4.0,28,3,0,7.0
66,6,Deepak Chahar,Chennai Super Kings,4.0,55,0,0,13.8
67,6,Ben Stokes,Chennai Super Kings,1.0,18,0,0,18.0
68,6,Tushar Deshpande,Chennai Super Kings,4.0,45,2,3,11.3
69,6,Moeen Ali,Chennai Super Kings,4.0,26,4,0,6.5
70,6,Mitchell Santner,Chennai Super Kings,4.0,21,1,0,5.3
71,6,RS Hangargekar,Chennai Super Kings,2.0,24,0,0,12.0
72,6,Ravindra Jadeja,Chennai Super Kings,1.0,14,0,0,14.0
73,7,Khaleel Ahmed,Delhi Capitals,4.0,38,1,0,9.5
74,7,Mukesh Kumar,Delhi Capitals,4.0,42,0,0,10.5
75,7,Anrich Nortje,Delhi Capitals,4.0,39,2,2,9.8
