,Player,Role,Price,Team,Batting Position
0,MS Dhoni,Batsman/Wicket-keeper,12,CSK,6
1,Devon Conway,Batsman,1,CSK,1
2,Ruturaj Gaikwad,Batsman,6,CSK,2
3,Ambati Rayudu,Batsman/Wicket-keeper,6.75,CSK,5
4,Subhranshu Senapati,Batsmen,0.2,CSK,
5,Moeen Ali,All-Rounder,8,CSK,4
6,Shivam Dube,All-Rounder,4,CSK,4
7,Rajvardhan Hangargekar,Bowler,1.5,CSK,
8,Dwaine Pretorius,All-Rounder,0.5,CSK,
9,Mitchell Santner,Bowler,1.9,CSK,7
10,Ravindra Jadeja,All-Rounder,16,CSK,6
11,Tushar Deshpande,Bowler,0.2,CSK,
12,Mukesh Chowdhary,Bowler,0.2,CSK,
13,Matheesha Pathirana,Bowler,0.2,CSK,
14,Simarjeet Singh,Bowler,0.2,CSK,
15,Deepak Chahar,Bowler,14,CSK,
16,Prashant Solanki,Bowler,1.2,CSK,
17,Maheesh Theekshana,Bowler,0.7,CSK,
18,Ajinkya Rahane,Batsman,0.5,CSK,3
19,Ben Stokes,All-Rounder,16.25,CSK,4
20,Shaik Rasheed,Batsman,0.2,CSK,
21,Nishant Sindhu,All-Rounder,0.6,CSK,
22,Kyle Jamieson,Bowler,1,CSK,
23,Ajay Mandal,All-Rounder,0.2,CSK,
24,Bhagath Varma,All-Rounder,0.2,CSK,
25,Rishabh Pant,Batsman/Wicket-keeper,16,DC,4
26,Axar Patel,All-Rounder,9,DC,6
27,Prithvi Shaw,Batsman,7.5,DC,1
28,Anrich Nortje,Bowler,6.5,DC,
29,David Warner,Batsman,6.25,DC,2
30,Mitchell Marsh,All-Rounder,6.5,DC,3
31,Sarfaraz Khan,Batsman,0.2,DC,4
32,Kamlesh Nagarkoti,Bowler,1.1,DC,
33,Mustafizur Rahman,Bowler,2,DC,
34,Kuldeep Yadav,Bowler,2,DC,
35,Khaleel Ahmed,Bowler,5.25,DC,
36,Chetan Sakariya,Bowler,4.2,DC,
37,Lalit Yadav,All-Rounder,0.65,DC,
38,Ripal Patel,All-Rounder,0.2,DC,7
39,Yash Dhull,Batsman,0.5,DC,4
40,Rovman Powell,Batsman,2.8,DC,5
41,Pravin Dubey,Bowler,0.5,DC,
42,Lungi Ngidi,Bowler,0.5,DC,
43,Vicky Ostwal,All-Rounder,0.2,DC,
44,Aman Khan,All-Rounder,0.2,DC,5
45,Phil Salt,Wicket-keeper,2,DC,2
46,Ishant Sharma,Bowler,0.5,DC,
47,Mukesh Kumar,Bowler,5.5,DC,
48,Manish Pandey,Batsman,2.4,DC,4
49,Rilee Rossouw,Batsman,4.6,DC,3
50,Hardik Pandya,All-Rounder,15,GT,3
51,Shubman Gill,Batsman,7,GT,1
52,David Miller,Batsman,3,GT,5
53,Abhinav Manohar,Batsman,2.6,GT,5
54,Sai Sudharsan,Batsman,0.2,GT,3
55,Wriddhiman Saha,Batsman/Wicket-keeper,1.9,GT,2
56,Matthew Wade,Batsman/Wicket-keeper,2.4,GT,7
57,Rashid Khan,Bowler,15,GT,7
58,Rahul Tewatia,All-Rounder,9,GT,7
59,Vijay Shankar,All-Rounder,1.4,GT,4
