,Winner,Margin,Ground,Match Date,match,match_id
0,Gujarat Titans,5 wickets,Ahmedabad,"Mar 31, 2023",Gujarat Titans vs Chennai Super Kings,1
1,Punjab Kings,7 runs,Mohali,"Apr 1, 2023",Punjab Kings vs Kolkata Knight Riders,2
2,Lucknow Super Giants,50 runs,Lucknow,"Apr 1, 2023",Lucknow Super Giants vs Delhi Capitals,3
3,Rajasthan Royals,72 runs,Hyderabad,"Apr 2, 2023",Sunrisers Hyderabad vs Rajasthan Royals,4
4,Royal Challengers Bangalore,8 wickets,Bengaluru,"Apr 2, 2023",Royal Challengers Bangalore vs Mumbai Indians,5
5,Chennai Super Kings,12 runs,Chennai,"Apr 3, 2023",Chennai Super Kings vs Lucknow Super Giants,6
6,Gujarat Titans,6 wickets,Delhi,"Apr 4, 2023",Delhi Capitals vs Gujarat Titans,7
7,Punjab Kings,5 runs,Guwahati,"Apr 5, 2023",Rajasthan Royals vs Punjab Kings,8
8,Kolkata Knight Riders,81 runs,Eden Gardens,"Apr 6, 2023",Kolkata Knight Riders vs Royal Challengers Bangalore,9
9,Lucknow Super Giants,5 wickets,Lucknow,"Apr 7, 2023",Lucknow Super Giants vs Sunrisers Hyderabad,10
10,Rajasthan Royals,57 runs,Guwahati,"Apr 8, 2023",Rajasthan Royals vs Delhi Capitals,11
11,Chennai Super Kings,7 wickets,Wankhede,"Apr 8, 2023",Mumbai Indians vs Chennai Super Kings,12
12,Kolkata Knight Riders,3 wickets,Ahmedabad,"Apr 9, 2023",Gujarat Titans vs Kolkata Knight Riders,13
13,Sunrisers Hyderabad,8 wickets,Hyderabad,"Apr 9, 2023",Sunrisers Hyderabad vs Punjab Kings,14
14,Lucknow Super Giants,1 wicket,Bengaluru,"Apr 10, 2023",Royal Challengers Bangalore vs Lucknow Super Giants,15
15,Mumbai Indians,6 wickets,Delhi,"Apr 11, 2023",Delhi Capitals vs Mumbai Indians,16
16,Rajasthan Royals,3 runs,Chennai,"Apr 12, 2023",Chennai Super Kings vs Rajasthan Royals,17
17,Gujarat Titans,6 wickets,Mohali,"Apr 13, 2023",Punjab Kings vs Gujarat Titans,18
18,Sunrisers Hyderabad,23 runs,Eden Gardens,"Apr 14, 2023",Kolkata Knight Riders vs Sunrisers Hyderabad,19
19,Royal Challengers Bangalore,23 runs,Bengaluru,"Apr 15, 2023",Royal Challengers Bangalore vs Delhi Capitals,20
